"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2025-12-31 23:00:00","2026-01-01 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4152110,4152111,0.6391345,0,0
"2026-01-01 00:00:00","2026-01-01 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4849301,4849298,0.74645016666667,0,0
"2026-01-01 01:00:00","2026-01-01 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5563526,5563524,0.85638666666667,0,0
"2026-01-01 02:00:00","2026-01-01 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5540995,5540993,0.852915,0,0
"2026-01-01 03:00:00","2026-01-01 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5849789,5849786,0.9004435,0,0
"2026-01-01 04:00:00","2026-01-01 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5916274,5916276,0.91067366666667,0,0
"2026-01-01 05:00:00","2026-01-01 06:00:00",Nederland,Wind,Hour,UTC,Providing,Current,6180052,6180052,0.95127216666667,0,0
"2026-01-01 06:00:00","2026-01-01 07:00:00",Nederland,Wind,Hour,UTC,Providing,Current,6369452,6369456,0.9804215,0,0
"2026-01-01 07:00:00","2026-01-01 08:00:00",Nederland,Wind,Hour,UTC,Providing,Current,6360904,6360905,0.979102,0,0
"2026-01-01 08:00:00","2026-01-01 09:00:00",Nederland,Wind,Hour,UTC,Providing,Current,6381596,6381596,0.98228266666667,0,0
"2026-01-01 09:00:00","2026-01-01 10:00:00",Nederland,Wind,Hour,UTC,Providing,Current,6439569,6439569,0.991202,0,0
"2026-01-01 10:00:00","2026-01-01 11:00:00",Nederland,Wind,Hour,UTC,Providing,Current,6441038,6441043,0.99142416666667,0,0
"2026-01-01 11:00:00","2026-01-01 12:00:00",Nederland,Wind,Hour,UTC,Providing,Current,6302633,6302636,0.97011633333333,0,0
"2026-01-01 12:00:00","2026-01-01 13:00:00",Nederland,Wind,Hour,UTC,Providing,Current,6210277,6210275,0.95589666666667,0,0
"2026-01-01 13:00:00","2026-01-01 14:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5877744,5877745,0.904709,0,0
"2026-01-01 14:00:00","2026-01-01 15:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5501547,5501546,0.84680066666667,0,0
"2026-01-01 15:00:00","2026-01-01 16:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5595549,5595550,0.86126583333333,0,0
"2026-01-01 16:00:00","2026-01-01 17:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5566840,5566844,0.85684333333333,0,0
"2026-01-01 17:00:00","2026-01-01 18:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5615348,5615350,0.86430616666667,0,0
"2026-01-01 18:00:00","2026-01-01 19:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5767854,5767856,0.887776,0,0
"2026-01-01 19:00:00","2026-01-01 20:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5419502,5419501,0.834155,0,0
"2026-01-01 20:00:00","2026-01-01 21:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5318657,5318656,0.81862933333333,0,0
"2026-01-01 21:00:00","2026-01-01 22:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5342324,5342323,0.822269,0,0
"2026-01-01 22:00:00","2026-01-01 23:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5420732,5420730,0.8343335,0,0
"2026-01-01 23:00:00","2026-01-02 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5514822,5514824,0.848812,0,0
"2026-01-02 00:00:00","2026-01-02 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5552070,5552071,0.85454116666667,0,0
"2026-01-02 01:00:00","2026-01-02 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5741146,5741149,0.883639,0,0
"2026-01-02 02:00:00","2026-01-02 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5633821,5633824,0.86711666666667,0,0
"2026-01-02 03:00:00","2026-01-02 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5777812,5777815,0.88927533333333,0,0
"2026-01-02 04:00:00","2026-01-02 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5738721,5738722,0.88325516666667,0,0
"2026-01-02 05:00:00","2026-01-02 06:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5536430,5536431,0.85211683333333,0,0
"2026-01-02 06:00:00","2026-01-02 07:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4780224,4780224,0.73572533333333,0,0
"2026-01-02 07:00:00","2026-01-02 08:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5023280,5023282,0.773131,0,0
"2026-01-02 08:00:00","2026-01-02 09:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5113605,5113605,0.78702966666667,0,0
"2026-01-02 09:00:00","2026-01-02 10:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5422244,5422244,0.8345285,0,0
"2026-01-02 10:00:00","2026-01-02 11:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5770229,5770227,0.88808266666667,0,0
"2026-01-02 11:00:00","2026-01-02 12:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5799822,5799822,0.8926335,0,0
"2026-01-02 12:00:00","2026-01-02 13:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4689638,4689639,0.72176533333333,0,0
"2026-01-02 13:00:00","2026-01-02 14:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3580144,3580145,0.55100466666667,0,0
"2026-01-02 14:00:00","2026-01-02 15:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3906687,3906688,0.601259,0,0
"2026-01-02 15:00:00","2026-01-02 16:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4356575,4356577,0.6704965,0,0
"2026-01-02 16:00:00","2026-01-02 17:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4644686,4644686,0.71483483333333,0,0
"2026-01-02 17:00:00","2026-01-02 18:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4966349,4966350,0.76433666666667,0,0
"2026-01-02 18:00:00","2026-01-02 19:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4611308,4611311,0.709692,0,0
"2026-01-02 19:00:00","2026-01-02 20:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4868149,4868150,0.7492175,0,0
"2026-01-02 20:00:00","2026-01-02 21:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4739575,4739576,0.7294265,0,0
"2026-01-02 21:00:00","2026-01-02 22:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4677939,4677936,0.71993766666667,0,0
"2026-01-02 22:00:00","2026-01-02 23:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4149779,4149779,0.63865083333333,0,0
"2026-01-02 23:00:00","2026-01-03 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2986165,2986164,0.45956883333333,0,0
"2026-01-03 00:00:00","2026-01-03 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2776697,2776695,0.42733,0,0
"2026-01-03 01:00:00","2026-01-03 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2897156,2897158,0.445867,0,0
"2026-01-03 02:00:00","2026-01-03 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3549266,3549265,0.546223,0,0
"2026-01-03 03:00:00","2026-01-03 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3720390,3720389,0.57255616666667,0,0
"2026-01-03 04:00:00","2026-01-03 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4041539,4041535,0.62197733333333,0,0
"2026-01-03 05:00:00","2026-01-03 06:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3665565,3665567,0.56411366666667,0,0
"2026-01-03 06:00:00","2026-01-03 07:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3694771,3694773,0.56860616666667,0,0
"2026-01-03 07:00:00","2026-01-03 08:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3571309,3571310,0.54960383333333,0,0
"2026-01-03 08:00:00","2026-01-03 09:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3276774,3276769,0.5042745,0,0
"2026-01-03 09:00:00","2026-01-03 10:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2947713,2947711,0.45363233333333,0,0
"2026-01-03 10:00:00","2026-01-03 11:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2984744,2984743,0.45932916666667,0,0
"2026-01-03 11:00:00","2026-01-03 12:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2673507,2673507,0.41143033333333,0,0
"2026-01-03 12:00:00","2026-01-03 13:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2358764,2358763,0.3629925,0,0
"2026-01-03 13:00:00","2026-01-03 14:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2209956,2209955,0.340091,0,0
"2026-01-03 14:00:00","2026-01-03 15:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2024261,2024264,0.311513,0,0
"2026-01-03 15:00:00","2026-01-03 16:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1964927,1964930,0.30238083333333,0,0
"2026-01-03 16:00:00","2026-01-03 17:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2961943,2961943,0.45580883333333,0,0
"2026-01-03 17:00:00","2026-01-03 18:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3700618,3700619,0.56948016666667,0,0
"2026-01-03 18:00:00","2026-01-03 19:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3638615,3638615,0.55993633333333,0,0
"2026-01-03 19:00:00","2026-01-03 20:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3316361,3316359,0.51034333333333,0,0
"2026-01-03 20:00:00","2026-01-03 21:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2717702,2717700,0.418216,0,0
"2026-01-03 21:00:00","2026-01-03 22:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2024113,2024111,0.31148116666667,0,0
"2026-01-03 22:00:00","2026-01-03 23:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1834281,1834281,0.28226766666667,0,0
"2026-01-03 23:00:00","2026-01-04 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2129456,2129456,0.32768883333333,0,0
"2026-01-04 00:00:00","2026-01-04 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2029441,2029442,0.31229716666667,0,0
"2026-01-04 01:00:00","2026-01-04 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2307802,2307808,0.35513083333333,0,0
"2026-01-04 02:00:00","2026-01-04 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2753059,2753059,0.42364633333333,0,0
"2026-01-04 03:00:00","2026-01-04 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2791420,2791418,0.4295475,0,0
"2026-01-04 04:00:00","2026-01-04 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3000457,3000459,0.46171283333333,0,0
"2026-01-04 05:00:00","2026-01-04 06:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3153793,3153796,0.48530616666667,0,0
"2026-01-04 06:00:00","2026-01-04 07:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3072911,3072911,0.47285783333333,0,0
"2026-01-04 07:00:00","2026-01-04 08:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2863095,2863093,0.44056983333333,0,0
"2026-01-04 08:00:00","2026-01-04 09:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2687031,2687033,0.4134755,0,0
"2026-01-04 09:00:00","2026-01-04 10:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2810832,2810833,0.43252383333333,0,0
"2026-01-04 10:00:00","2026-01-04 11:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2929339,2929342,0.45075783333333,0,0
"2026-01-04 11:00:00","2026-01-04 12:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2818632,2818633,0.43372066666667,0,0
"2026-01-04 12:00:00","2026-01-04 13:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3193188,3193191,0.491354,0,0
"2026-01-04 13:00:00","2026-01-04 14:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3569131,3569129,0.5492,0,0
"2026-01-04 14:00:00","2026-01-04 15:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3926192,3926193,0.60414016666667,0,0
"2026-01-04 15:00:00","2026-01-04 16:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3460478,3460474,0.53247666666667,0,0
"2026-01-04 16:00:00","2026-01-04 17:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2765566,2765568,0.42554616666667,0,0
"2026-01-04 17:00:00","2026-01-04 18:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2637898,2637897,0.40589983333333,0,0
"2026-01-04 18:00:00","2026-01-04 19:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2312966,2312966,0.35590016666667,0,0
"2026-01-04 19:00:00","2026-01-04 20:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2233773,2233770,0.343713,0,0
"2026-01-04 20:00:00","2026-01-04 21:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2240802,2240803,0.34479333333333,0,0
"2026-01-04 21:00:00","2026-01-04 22:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2184306,2184306,0.33609883333333,0,0
"2026-01-04 22:00:00","2026-01-04 23:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2184781,2184782,0.33617066666667,0,0
"2026-01-04 23:00:00","2026-01-05 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2338088,2338088,0.35975816666667,0,0
"2026-01-05 00:00:00","2026-01-05 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2002469,2002466,0.30811583333333,0,0
"2026-01-05 01:00:00","2026-01-05 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1699255,1699257,0.26145966666667,0,0
"2026-01-05 02:00:00","2026-01-05 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1678164,1678167,0.25821366666667,0,0
"2026-01-05 03:00:00","2026-01-05 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1639577,1639580,0.25227516666667,0,0
"2026-01-05 04:00:00","2026-01-05 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1608419,1608421,0.24748,0,0
"2026-01-05 05:00:00","2026-01-05 06:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1692255,1692254,0.2603785,0,0
"2026-01-05 06:00:00","2026-01-05 07:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1850241,1850242,0.28468583333333,0,0
"2026-01-05 07:00:00","2026-01-05 08:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2150989,2150987,0.33095833333333,0,0
"2026-01-05 08:00:00","2026-01-05 09:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2504634,2504635,0.38537016666667,0,0
"2026-01-05 09:00:00","2026-01-05 10:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2336138,2336137,0.35944316666667,0,0
"2026-01-05 10:00:00","2026-01-05 11:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2013686,2013688,0.309829,0,0
"2026-01-05 11:00:00","2026-01-05 12:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2017264,2017267,0.31037816666667,0,0
"2026-01-05 12:00:00","2026-01-05 13:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2002300,2002302,0.30807433333333,0,0
"2026-01-05 13:00:00","2026-01-05 14:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2140769,2140766,0.32937783333333,0,0
"2026-01-05 14:00:00","2026-01-05 15:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1902212,1902210,0.29267233333333,0,0
"2026-01-05 15:00:00","2026-01-05 16:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1802208,1802206,0.2772845,0,0
"2026-01-05 16:00:00","2026-01-05 17:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1467851,1467849,0.22584,0,0
"2026-01-05 17:00:00","2026-01-05 18:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1274151,1274151,0.19603716666667,0,0
"2026-01-05 18:00:00","2026-01-05 19:00:00",Nederland,Wind,Hour,UTC,Providing,Current,948376,948377,0.145914,0,0
"2026-01-05 19:00:00","2026-01-05 20:00:00",Nederland,Wind,Hour,UTC,Providing,Current,903198,903203,0.13896233333333,0,0
"2026-01-05 20:00:00","2026-01-05 21:00:00",Nederland,Wind,Hour,UTC,Providing,Current,984059,984060,0.15140233333333,0,0
"2026-01-05 21:00:00","2026-01-05 22:00:00",Nederland,Wind,Hour,UTC,Providing,Current,902150,902153,0.13880016666667,0,0
"2026-01-05 22:00:00","2026-01-05 23:00:00",Nederland,Wind,Hour,UTC,Providing,Current,914536,914536,0.14070483333333,0,0
"2026-01-05 23:00:00","2026-01-06 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,762337,762337,0.117288,0,0
"2026-01-06 00:00:00","2026-01-06 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,614012,614015,0.0944674,0,0
"2026-01-06 01:00:00","2026-01-06 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,352716,352712,0.054266116666667,0,0
"2026-01-06 02:00:00","2026-01-06 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,248146,248149,0.038177716666667,0,0
"2026-01-06 03:00:00","2026-01-06 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,257522,257525,0.039619983333333,0,0
"2026-01-06 04:00:00","2026-01-06 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,140011,140012,0.0215407,0,0
"2026-01-06 05:00:00","2026-01-06 06:00:00",Nederland,Wind,Hour,UTC,Providing,Current,84318,84317,0.012972366666667,0,0
"2026-01-06 06:00:00","2026-01-06 07:00:00",Nederland,Wind,Hour,UTC,Providing,Current,68290,68290,0.010506446666667,0,0
"2026-01-06 07:00:00","2026-01-06 08:00:00",Nederland,Wind,Hour,UTC,Providing,Current,213350,213350,0.0328236,0,0
"2026-01-06 08:00:00","2026-01-06 09:00:00",Nederland,Wind,Hour,UTC,Providing,Current,373082,373083,0.057397783333333,0,0
"2026-01-06 09:00:00","2026-01-06 10:00:00",Nederland,Wind,Hour,UTC,Providing,Current,404057,404058,0.062162966666667,0,0
"2026-01-06 10:00:00","2026-01-06 11:00:00",Nederland,Wind,Hour,UTC,Providing,Current,484193,484194,0.07449135,0,0
"2026-01-06 11:00:00","2026-01-06 12:00:00",Nederland,Wind,Hour,UTC,Providing,Current,872894,872891,0.13429116666667,0,0
"2026-01-06 12:00:00","2026-01-06 13:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1336520,1336521,0.2056165,0,0
"2026-01-06 13:00:00","2026-01-06 14:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1712410,1712412,0.26344433333333,0,0
"2026-01-06 14:00:00","2026-01-06 15:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1741556,1741559,0.26792733333333,0,0
"2026-01-06 15:00:00","2026-01-06 16:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1765436,1765436,0.2716,0,0
"2026-01-06 16:00:00","2026-01-06 17:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1596346,1596345,0.24558566666667,0,0
"2026-01-06 17:00:00","2026-01-06 18:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1668441,1668440,0.25667583333333,0,0
"2026-01-06 18:00:00","2026-01-06 19:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1898063,1898062,0.29200016666667,0,0
"2026-01-06 19:00:00","2026-01-06 20:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2200373,2200374,0.33850633333333,0,0
"2026-01-06 20:00:00","2026-01-06 21:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2531643,2531645,0.3894675,0,0
"2026-01-06 21:00:00","2026-01-06 22:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3067149,3067149,0.47184716666667,0,0
"2026-01-06 22:00:00","2026-01-06 23:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3604594,3604595,0.55452516666667,0,0
"2026-01-06 23:00:00","2026-01-07 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4336984,4336981,0.66719216666667,0,0
"2026-01-07 00:00:00","2026-01-07 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4758901,4758902,0.73209583333333,0,0
"2026-01-07 01:00:00","2026-01-07 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5043824,5043826,0.7759245,0,0
"2026-01-07 02:00:00","2026-01-07 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5361303,5361301,0.82476083333333,0,0
"2026-01-07 03:00:00","2026-01-07 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5491286,5491285,0.84475333333333,0,0
"2026-01-07 04:00:00","2026-01-07 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5786380,5786380,0.89014533333333,0,0
"2026-01-07 05:00:00","2026-01-07 06:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5868115,5868111,0.90271566666667,0,0
"2026-01-07 06:00:00","2026-01-07 07:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5978638,5978635,0.919714,0,0
"2026-01-07 07:00:00","2026-01-07 08:00:00",Nederland,Wind,Hour,UTC,Providing,Current,6231154,6231152,0.95855533333333,0,0
"2026-01-07 08:00:00","2026-01-07 09:00:00",Nederland,Wind,Hour,UTC,Providing,Current,6349642,6349644,0.97677883333333,0,0
"2026-01-07 09:00:00","2026-01-07 10:00:00",Nederland,Wind,Hour,UTC,Providing,Current,6409699,6409698,0.98601333333333,0,0
"2026-01-07 10:00:00","2026-01-07 11:00:00",Nederland,Wind,Hour,UTC,Providing,Current,6409178,6409176,0.985929,0,0
"2026-01-07 11:00:00","2026-01-07 12:00:00",Nederland,Wind,Hour,UTC,Providing,Current,6420363,6420366,0.98764533333333,0,0
"2026-01-07 12:00:00","2026-01-07 13:00:00",Nederland,Wind,Hour,UTC,Providing,Current,6404822,6404822,0.9852505,0,0
"2026-01-07 13:00:00","2026-01-07 14:00:00",Nederland,Wind,Hour,UTC,Providing,Current,6363482,6363480,0.97888716666667,0,0
"2026-01-07 14:00:00","2026-01-07 15:00:00",Nederland,Wind,Hour,UTC,Providing,Current,6227170,6227167,0.95791466666667,0,0
"2026-01-07 15:00:00","2026-01-07 16:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5896944,5896945,0.90711266666667,0,0
"2026-01-07 16:00:00","2026-01-07 17:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5627317,5627317,0.8656335,0,0
"2026-01-07 17:00:00","2026-01-07 18:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5512909,5512908,0.84803083333333,0,0
"2026-01-07 18:00:00","2026-01-07 19:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5183721,5183724,0.79738966666667,0,0
"2026-01-07 19:00:00","2026-01-07 20:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4790282,4790282,0.7368655,0,0
"2026-01-07 20:00:00","2026-01-07 21:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4668443,4668444,0.71812033333333,0,0
"2026-01-07 21:00:00","2026-01-07 22:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4305356,4305354,0.662266,0,0
"2026-01-07 22:00:00","2026-01-07 23:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3726122,3726122,0.57316383333333,0,0
"2026-01-07 23:00:00","2026-01-08 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3378164,3378162,0.51963733333333,0,0
"2026-01-08 00:00:00","2026-01-08 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3190398,3190400,0.49075283333333,0,0
"2026-01-08 01:00:00","2026-01-08 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3121231,3121228,0.4801115,0,0
"2026-01-08 02:00:00","2026-01-08 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2965466,2965461,0.45614983333333,0,0
"2026-01-08 03:00:00","2026-01-08 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2734650,2734654,0.42064383333333,0,0
"2026-01-08 04:00:00","2026-01-08 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2750135,2750135,0.42302383333333,0,0
"2026-01-08 05:00:00","2026-01-08 06:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2452660,2452659,0.37726466666667,0,0
"2026-01-08 06:00:00","2026-01-08 07:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2250174,2250173,0.34611716666667,0,0
"2026-01-08 07:00:00","2026-01-08 08:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2297591,2297594,0.3534095,0,0
"2026-01-08 08:00:00","2026-01-08 09:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2021936,2021936,0.31100783333333,0,0
"2026-01-08 09:00:00","2026-01-08 10:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1751966,1751962,0.2694805,0,0
"2026-01-08 10:00:00","2026-01-08 11:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1732804,1732805,0.266532,0,0
"2026-01-08 11:00:00","2026-01-08 12:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1707014,1707012,0.26256383333333,0,0
"2026-01-08 12:00:00","2026-01-08 13:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1210011,1210013,0.186117,0,0
"2026-01-08 13:00:00","2026-01-08 14:00:00",Nederland,Wind,Hour,UTC,Providing,Current,952370,952367,0.1464875,0,0
"2026-01-08 14:00:00","2026-01-08 15:00:00",Nederland,Wind,Hour,UTC,Providing,Current,707618,707622,0.10884075,0,0
"2026-01-08 15:00:00","2026-01-08 16:00:00",Nederland,Wind,Hour,UTC,Providing,Current,634290,634291,0.09756145,0,0
"2026-01-08 16:00:00","2026-01-08 17:00:00",Nederland,Wind,Hour,UTC,Providing,Current,838273,838272,0.128936,0,0
"2026-01-08 17:00:00","2026-01-08 18:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1101438,1101438,0.16941316666667,0,0
"2026-01-08 18:00:00","2026-01-08 19:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1519306,1519303,0.233685,0,0
"2026-01-08 19:00:00","2026-01-08 20:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1677315,1677316,0.25798733333333,0,0
"2026-01-08 20:00:00","2026-01-08 21:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2140731,2140731,0.32926383333333,0,0
"2026-01-08 21:00:00","2026-01-08 22:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3162553,3162556,0.48642716666667,0,0
"2026-01-08 22:00:00","2026-01-08 23:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4145800,4145800,0.637656,0,0
"2026-01-08 23:00:00","2026-01-09 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4951946,4951947,0.7616445,0,0
"2026-01-09 00:00:00","2026-01-09 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5402059,5402055,0.8308715,0,0
"2026-01-09 01:00:00","2026-01-09 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5491464,5491465,0.84461916666667,0,0
"2026-01-09 02:00:00","2026-01-09 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5272537,5272538,0.81094366666667,0,0
"2026-01-09 03:00:00","2026-01-09 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5224757,5224758,0.80359133333333,0,0
"2026-01-09 04:00:00","2026-01-09 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5345051,5345049,0.82208983333333,0,0
